,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,1617.1781972073052,203764.45284812045,26.6,43016.94004571432,0.3,0.6,1,5.5,8894.480084640178,32780.20205739208,22543.464069069836,8894.480084640178,34122.45996107414
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,2587.4851155316887,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1617.1781972073052,38812.276732975326,5.65,9137.056814221274,0.0,0.0,0,1.1100000000000003,1795.0677989001092,9137.056814221274,9137.056814221274,9137.056814221274,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,220.52429961917798,220.52429961917798,82.18307192,18123.364375710535,0.2,0.6,1,6.1556194400000095,1357.4636657281987,14770.184233714068,8063.823949721133,1357.4636657281987,16765.900709982336
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,33.89540160813291,33.89540160813291,127.0,4304.71600423288,0.3,0.6,1,5.0,169.47700804066454,3064.1443053752146,1823.5726065175504,169.47700804066454,4135.238996192215
