,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
concrete wall,kg/m2,466,410.08,0.88,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,8336.83588670023,3884965.5232023075,48.843,407196.0752140994,0.3,0.6,1,12.386000000000003,103260.04929266906,316015.26743767026,224834.4596612412,103260.04929266906,303936.0259214303
steel rebar,kg/m2,1.8,1.584,0,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,0.0,15006.304596060416,48.843,0.0,0.3,0.6,1,12.386000000000003,0.0,0.0,0.0,0.0,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,1136.841257277304,1136.841257277304,82.18307192,93429.1068084439,0.2,0.6,1,6.1556194400000095,6997.962143490226,76142.87787545318,41570.4200094717,6997.962143490226,86431.14466495368
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,69.8946847066787,69.8946847066787,127.0,8876.624957748196,0.3,0.6,1,5.0,349.47342353339354,6318.479497483754,3760.3340372193147,349.47342353339354,8527.151534214801
