,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,667.261943714172,84075.00490798567,26.6,17749.167702796978,0.3,0.6,1,5.5,3669.9406904279463,13525.399599086268,9301.631495375557,3669.9406904279463,14079.227012369032
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1067.6191099426753,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,667.261943714172,16014.28664914013,5.65,3770.0299819850725,0.0,0.0,0,1.1100000000000003,740.6607575227312,3770.0299819850725,3770.0299819850725,3770.0299819850725,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,90.99026505193254,90.99026505193254,82.18307192,7477.859496782835,0.2,0.6,1,6.1556194400000095,560.1014444044295,6094.307886307154,3327.204665355792,560.1014444044295,6917.758052378405
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,13.985540739463707,13.985540739463707,127.0,1776.1636739118908,0.3,0.6,1,5.0,69.92770369731853,1264.292882847519,752.4220917831475,69.92770369731853,1706.2359702145723
