,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,925.8461047317551,116656.60919620114,26.6,24627.506385864686,0.3,0.6,1,5.5,5092.153576024653,18766.900542912674,12906.294699960665,5092.153576024653,19535.352809840035
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1481.3537675708083,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,925.8461047317551,22220.306513562122,5.65,5231.0304917344165,0.0,0.0,0,1.1100000000000003,1027.6891762522484,5231.0304917344165,5231.0304917344165,5231.0304917344165,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,126.25174155433024,126.25174155433024,82.18307192,10375.755956184776,0.2,0.6,1,6.1556194400000095,777.1576746456923,8456.03629987696,4616.596987261326,777.1576746456923,9598.598281539083
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,19.40536027594335,19.40536027594335,127.0,2464.480755044806,0.3,0.6,1,5.0,97.02680137971676,1754.2445689452788,1044.0083828457523,97.02680137971676,2367.453953665089
