,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,220.14190120548068,27737.879551890564,26.6,5855.774572065787,0.3,0.6,1,5.5,1210.7804566301438,4462.276337435093,3068.778102804401,1210.7804566301438,4644.994115435643
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,352.2270419287691,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,220.14190120548068,5283.405628931537,5.65,1243.801741810966,0.0,0.0,0,1.1100000000000003,244.3575103380836,1243.801741810966,1243.801741810966,1243.801741810966,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,30.019350164383727,30.019350164383727,82.18307192,2467.0824135512116,0.2,0.6,1,6.1556194400000095,184.78769544804794,2010.6234699305792,1097.7055826893136,184.78769544804794,2282.2947181031636
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,9.228170606088332,9.228170606088332,127.0,1171.9776669732182,0.3,0.6,1,5.0,46.14085303044166,834.2266227903851,496.4755786075523,46.14085303044166,1125.8368139427766
