,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,805.038555201248,101434.85795535723,26.6,21414.025568353198,0.3,0.6,1,5.5,4427.712053606864,16318.131513929296,11222.237459505395,4427.712053606864,16986.313514746333
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1288.0616883219968,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,805.038555201248,19320.925324829954,5.65,4548.467836887051,0.0,0.0,0,1.1100000000000003,893.5927962733855,4548.467836887051,4548.467836887051,4548.467836887051,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,109.77798480017017,109.77798480017017,82.18307192,9021.892020065052,0.2,0.6,1,6.1556194400000095,675.751497319953,7352.663915516033,4014.207706417993,675.751497319953,8346.1405227451
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,16.873282848915046,16.873282848915046,127.0,2142.906921812211,0.3,0.6,1,5.0,84.36641424457522,1525.3447695419202,907.7826172716296,84.36641424457522,2058.540507567636
