,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,166.98016429964753,21039.500701755587,26.6,4441.672370370625,0.3,0.6,1,5.5,918.3909036480613,3384.6879303538553,2327.7034903370864,918.3909036480613,3523.2814667225634
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,267.16826287943604,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,166.98016429964753,4007.5239431915406,5.65,943.4379282930086,0.0,0.0,0,1.1100000000000003,185.3479823726088,943.4379282930086,943.4379282930086,943.4379282930086,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,22.77002240449739,22.77002240449739,82.18307192,1871.3103888888204,0.2,0.6,1,6.1556194400000095,140.1635925623599,1525.0810296235284,832.6223110929441,140.1635925623599,1731.1467963264604
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,6.999673553975123,6.999673553975123,127.0,888.9585413548407,0.3,0.6,1,5.0,34.998367769875614,632.7704892793511,376.5824372038617,34.998367769875614,853.9601735849651
