,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
concrete wall,kg/m2,466,410.08,0.88,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,1429.315208519372,666060.8871700274,48.843,69812.04272971168,0.3,0.6,1,12.386000000000003,17703.498172720945,54179.47936261446,38546.91599551724,17703.498172720945,52108.54455699074
steel rebar,kg/m2,1.8,1.584,0,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,0.0,2572.76737533487,48.843,0.0,0.3,0.6,1,12.386000000000003,0.0,0.0,0.0,0.0,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,194.90661934355072,194.90661934355072,82.18307192,16018.024715195092,0.2,0.6,1,6.1556194400000095,1199.7709750158426,13054.373967159245,7127.072471087544,1199.7709750158426,14818.253740179249
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,14.978934634735841,14.978934634735841,127.0,1902.3246986114518,0.3,0.6,1,5.0,74.89467317367921,1354.0956909801198,805.8666833487883,74.89467317367921,1827.4300254377727
