,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,173.57493360342224,21870.441634031202,26.6,4617.093233851032,0.3,0.6,1,5.5,954.6621348188223,3518.363904141369,2419.634574431706,954.6621348188223,3662.4310990322097
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,277.7198937654756,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,173.57493360342224,4165.798406482134,5.65,980.6983748593357,0.0,0.0,0,1.1100000000000003,192.66817629979874,980.6983748593357,980.6983748593357,980.6983748593357,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,23.669309127739396,23.669309127739396,82.18307192,1945.2165343417194,0.2,0.6,1,6.1556194400000095,145.6992593980823,1585.3130793529922,865.5061693755372,145.6992593980823,1799.517274943637
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,7.276120954082851,7.276120954082851,127.0,924.067361168522,0.3,0.6,1,5.0,36.38060477041425,657.7613342490896,391.45530732965744,36.38060477041425,887.6867563981077
