,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,706.31773965172,88996.0351961167,26.6,18788.051874735753,0.3,0.6,1,5.5,3884.74756808446,14317.060582740365,9846.069290744977,3884.74756808446,14903.304306651293
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1130.108383442752,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,706.31773965172,16951.62575164128,5.65,3990.6952290322183,0.0,0.0,0,1.1100000000000003,784.0126910134094,3990.6952290322183,3990.6952290322183,3990.6952290322183,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,96.31605540705272,96.31605540705272,82.18307192,7915.549308568518,0.2,0.6,1,6.1556194400000095,592.8849830477717,6451.016443464369,3521.9507132560707,592.8849830477717,7322.664325520746
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,29.608268884390274,29.608268884390274,127.0,3760.2501483175647,0.3,0.6,1,5.0,148.04134442195138,2676.5875071488804,1592.9248659801967,148.04134442195138,3612.2088038956135
