,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
concrete wall,kg/m2,466,410.08,0.88,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,2333.256508869874,1087297.5331333613,48.843,113963.24766273126,0.3,0.6,1,12.386000000000003,28899.715118862263,88444.18789957056,62925.12813640987,28899.715118862263,85063.53254386899
steel rebar,kg/m2,1.8,1.584,0,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,0.0,4199.861715965773,48.843,0.0,0.3,0.6,1,12.386000000000003,0.0,0.0,0.0,0.0,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,318.1713421186191,318.1713421186191,82.18307192,26148.2982922174,0.2,0.6,1,6.1556194400000095,1958.5416987962656,21310.34697353318,11634.44433616472,1958.5416987962656,24189.756593421134
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,16.301371232003326,16.301371232003326,127.0,2070.2741464644223,0.3,0.6,1,5.0,81.50685616001664,1473.6439593731006,877.013772281779,81.50685616001664,1988.7672903044056
