,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Life span,Low reuse,High reuse,Max reuse,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided from reuse A1-3 building
brick,kg/m2,126,110.88,0.88,100,0.3,0.6,1,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,1269.1884656720733,159917.74667468126,26.6,33760.41318687715,0.3,0.6,1,5.5,6980.536561196403,25726.450199172927,17692.487211468702,6980.536561196403,26779.876625680747
mortar,kg/m2,1.6,1.4080000000000001,0,100,0,0,0,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,2030.7015450753177,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,15,0,0,0,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1269.1884656720733,30460.523176129765,5.65,7170.914831047215,0.0,0.0,0,1.1100000000000003,1408.7991968960018,7170.914831047215,7170.914831047215,7170.914831047215,0.0
window,m2/m2,1,0.12,0.12,30,0.2,0.6,1,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/41239,173.07115440982818,173.07115440982818,82.18307192,14223.519130140336,0.2,0.6,1,6.1556194400000095,1065.3601625883816,11591.887336629947,6328.6237496091635,1065.3601625883816,13158.158967551954
door,,,,,,0.3,0.6,1,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,26.601677437066183,26.601677437066183,127.0,3378.4130345074054,0.3,0.6,1,5.0,133.00838718533092,2404.7916403107824,1431.1702461141608,133.00838718533092,3245.4046473220747
