,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
concrete block,kg/m2,174,153.12,0.88,0.3,0.6,1,100,Bloc creux en béton B40 (pose à joints minces),https://base-inies.fr/consultation/infos-produit/42222,1161.8156100490116,202155.91614852802,10.3,11966.70078350482,0.3,0.6,1,1.0,1161.8156100490116,8725.235231468077,5483.769679431335,1161.8156100490116,10804.885173455808
mortar,kg/m2,2.06,1.8128,0,0,0,0,100,Bloc creux en béton B40 (pose à joints minces),https://base-inies.fr/consultation/infos-produit/42222,0.0,2393.3401567009637,10.3,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1161.8156100490116,27883.57464117628,5.65,6564.2581967769165,0.0,0.0,0,1.1100000000000003,1289.6153271544033,6564.2581967769165,6564.2581967769165,6564.2581967769165,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,158.42940137031977,158.42940137031977,82.18307192,13020.214887059536,0.2,0.6,1,6.1556194400000095,975.2311029427045,10611.218130236171,5793.224616589438,975.2311029427045,12044.983784116832
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,1161.8156100490116,69.7089366029407,4.83,5611.569396536726,0.2,0.6,1,1.52,1765.9597272744977,4842.447462684281,3304.203594979389,1765.9597272744977,3845.6096692622286
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,16.234123844119186,16.234123844119186,127.0,2061.7337282031367,0.3,0.6,1,5.0,81.17061922059592,1467.5647955083743,873.3958628136122,81.17061922059592,1980.5631089825408
