,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,167.58208657391268,21115.342908312996,26.6,4457.683502866077,0.3,0.6,1,5.5,921.7014761565197,3396.88889485321,2336.0942868403426,921.7014761565197,3535.9820267095574
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,268.1313385182603,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,167.58208657391268,4021.9700777739044,5.65,946.8387891426066,0.0,0.0,0,1.1100000000000003,186.01611609704312,946.8387891426066,946.8387891426066,946.8387891426066,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,22.852102714624458,22.852102714624458,82.18307192,1878.056000919209,0.2,0.6,1,6.1556194400000095,140.6688477150193,1530.5785702783712,835.6237089966953,140.6688477150193,1737.3871532041899
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,167.58208657391268,10.05492519443476,4.83,809.4214781519983,0.2,0.6,1,1.52,254.72477159234728,698.4821368400682,476.60345421620764,254.72477159234728,554.6967065596509
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,7.0249056493104804,7.0249056493104804,127.0,892.1630174624311,0.3,0.6,1,5.0,35.1245282465524,635.0514706976674,377.93992393290387,35.1245282465524,857.0384892158787
