,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,418.28111936785814,52703.42104035012,26.6,11126.277775185026,0.3,0.6,1,5.5,2300.54615652322,8478.558289586485,5830.838803987943,2300.54615652322,8825.731618661806
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,669.2497909885731,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,418.28111936785814,10038.746864828596,5.65,2363.2883244283985,0.0,0.0,0,1.1100000000000003,464.29204249832264,2363.2883244283985,2363.2883244283985,2363.2883244283985,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,57.03833445925338,57.03833445925338,82.18307192,4687.585543061835,0.2,0.6,1,6.1556194400000095,351.10628042260254,3820.2896905339885,2085.6979854782953,351.10628042260254,4336.479262639233
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,418.28111936785814,25.096867162071486,4.83,2020.2978065467548,0.2,0.6,1,1.52,635.7873014391444,1743.3957055252329,1189.5915034821887,635.7873014391444,1384.5105051076105
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,17.534006518955668,17.534006518955668,127.0,2226.8188279073697,0.3,0.6,1,5.0,87.67003259477833,1585.0741893135923,943.3295507198151,87.67003259477833,2139.1487953125916
