,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,111.04442083381599,13991.597025060813,26.6,2953.7815941795056,0.3,0.6,1,5.5,610.7443145859879,2250.87041030145,1547.959226423395,610.7443145859879,2343.0372795935177
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,177.67107333410559,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,111.04442083381599,2665.066100011584,5.65,627.4009777110604,0.0,0.0,0,1.1100000000000003,123.25930712553578,627.4009777110604,627.4009777110604,627.4009777110604,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,15.142421022793089,15.142421022793089,82.18307192,1244.4506759591245,0.2,0.6,1,6.1556194400000095,93.21098121656996,1014.2027370106135,553.7068591135918,93.21098121656996,1151.2396947425545
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,111.04442083381599,6.662665250028959,4.83,536.3445526273313,0.2,0.6,1,1.52,168.78751966740032,462.83314603534507,315.81033285137266,168.78751966740032,367.55703295993095
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,4.654892388488245,4.654892388488245,127.0,591.1713333380071,0.3,0.6,1,5.0,23.274461942441228,420.80227191933733,250.43321050066763,23.274461942441228,567.8968713955659
