,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,661.3790841965412,83333.76460876418,26.6,17592.683639627994,0.3,0.6,1,5.5,3637.584963080976,13406.154036663891,9219.624433699784,3637.584963080976,13955.098676547019
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1058.206534714466,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,661.3790841965412,15873.098020716989,5.65,3736.791825710458,0.0,0.0,0,1.1100000000000003,734.1307834581609,3736.791825710458,3736.791825710458,3736.791825710458,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,90.18805693589196,90.18805693589196,82.18307192,7411.931569487464,0.2,0.6,1,6.1556194400000095,555.1633565304043,6040.577926896053,3297.8706417132285,555.1633565304043,6856.768212957059
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,661.3790841965412,39.682745051792466,4.83,3194.460976669294,0.2,0.6,1,1.52,1005.2962079787426,2756.6280229311838,1880.9621154549632,1005.2962079787426,2189.164768690551
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,27.7244767617742,27.7244767617742,127.0,3521.0085487453234,0.3,0.6,1,5.0,138.622383808871,2506.2926992643875,1491.576849783452,138.622383808871,3382.3861649364526
