,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,472.79313110319106,59571.93451900207,26.6,12576.297287344883,0.3,0.6,1,5.5,2600.3622210675508,9583.516767461684,6590.736247578483,2600.3622210675508,9975.935066277332
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,756.4690097651057,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,472.79313110319106,11347.035146476586,5.65,2671.2811907330297,0.0,0.0,0,1.1100000000000003,524.8003755245422,2671.2811907330297,2671.2811907330297,2671.2811907330297,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,64.4717906049806,64.4717906049806,82.18307192,5298.489804100301,0.2,0.6,1,6.1556194400000095,396.86380757962854,4318.164604796167,2357.5142061878973,396.86380757962854,4901.625996520672
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,472.79313110319106,28.367587866191464,4.83,2283.590823228413,0.2,0.6,1,1.52,718.6455592768505,1970.6017704381004,1344.6236648574754,718.6455592768505,1564.9452639515623
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,19.81910600079033,19.81910600079033,127.0,2517.026462100372,0.3,0.6,1,5.0,99.09553000395165,1791.6471824714456,1066.2679028425198,99.09553000395165,2417.9309320964203
