,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,569.1343060563563,71710.92256310089,26.6,15138.972541099078,0.3,0.6,1,5.5,3130.23868330996,11536.352383762343,7933.732226425607,3130.23868330996,12008.733857789117
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,910.6148896901701,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,569.1343060563563,13659.223345352551,5.65,3215.608829218413,0.0,0.0,0,1.1100000000000003,631.7390797225556,3215.608829218413,3215.608829218413,3215.608829218413,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,77.60922355313949,77.60922355313949,82.18307192,6378.16440092302,0.2,0.6,1,6.1556194400000095,477.73284522701204,5198.0780897838185,2837.9054675054153,477.73284522701204,5900.431555696008
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,569.1343060563563,34.14805836338138,4.83,2748.918698252201,0.2,0.6,1,1.52,865.0841452056616,2372.1517876428934,1618.6179664242773,865.0841452056616,1883.8345530465394
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,23.85765020337251,23.85765020337251,127.0,3029.921575828309,0.3,0.6,1,5.0,119.28825101686256,2156.731578384875,1283.5415809414412,119.28825101686256,2910.6333248114465
