,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,638.0639413157919,80396.05660578978,26.6,16972.500839000066,0.3,0.6,1,5.5,3509.3516772368557,12933.556090471104,8894.61134194214,3509.3516772368557,13463.14916176321
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1020.9023061052671,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,638.0639413157919,15313.534591579008,5.65,3605.0612684342245,0.0,0.0,0,1.1100000000000003,708.2509748605293,3605.0612684342245,3605.0612684342245,3605.0612684342245,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,87.00871927033526,87.00871927033526,82.18307192,7150.643833461053,0.2,0.6,1,6.1556194400000095,535.5925637899792,5827.633579526839,3181.613071658409,535.5925637899792,6615.051269671074
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,638.0639413157919,38.283836478947514,4.83,3081.848836555275,0.2,0.6,1,1.52,969.8571908000038,2659.450507404221,1814.6538491021124,969.8571908000038,2111.991645755271
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,26.747124812732693,26.747124812732693,127.0,3396.884851217052,0.3,0.6,1,5.0,133.73562406366347,2417.9400830710356,1438.995314925019,133.73562406366347,3263.1492271533884
