,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,807.2580778869135,101714.5178137511,26.6,21473.0648717919,0.3,0.6,1,5.5,4439.919428378024,16363.121238767737,11253.177605743575,4439.919428378024,17033.145443413876
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1291.6129246190617,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,807.2580778869135,19374.193869285922,5.65,4561.008140061062,0.0,0.0,0,1.1100000000000003,896.0564664544743,4561.008140061062,4561.008140061062,4561.008140061062,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,110.0806469845791,110.0806469845791,82.18307192,9046.765728133796,0.2,0.6,1,6.1556194400000095,677.6145705460535,7372.935496616248,4025.275033581151,677.6145705460535,8369.151157587743
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,807.2580778869135,48.43548467321481,4.83,3899.056516193792,0.2,0.6,1,1.52,1227.0322783881086,3364.6516686326554,2295.841973510382,1227.0322783881086,2672.0242378056837
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,33.8396062952595,33.8396062952595,127.0,4297.629999497956,0.3,0.6,1,5.0,169.1980314762975,3059.1004090914585,1820.5708186849613,169.1980314762975,4128.431968021659
