,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,464.96256870411327,58585.28365671827,26.6,12368.004327529414,0.3,0.6,1,5.5,2557.294127872623,9424.791267632376,6481.578207735339,2557.294127872623,9810.71019965679
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,743.9401099265813,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,464.96256870411327,11159.101648898719,5.65,2627.03851317824,0.0,0.0,0,1.1100000000000003,516.1084512615658,2627.03851317824,2627.03851317824,2627.03851317824,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,63.40398664146999,63.40398664146999,82.18307192,5210.734394170648,0.2,0.6,1,6.1556194400000095,390.29081274373357,4246.645677885265,2318.4682453144997,390.29081274373357,4820.4435814269145
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,464.96256870411327,27.897754122246795,4.83,2245.769206840867,0.2,0.6,1,1.52,706.7431044302522,1937.9639863587443,1322.3535453944983,706.7431044302522,1539.0261024106148
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,9.745427576374093,9.745427576374093,127.0,1237.6693021995097,0.3,0.6,1,5.0,48.72713788187046,880.9866529042179,524.3040036089262,48.72713788187046,1188.9421643176393
