,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,1838.3885986956327,231636.9634356497,26.6,48901.13672530383,0.3,0.6,1,5.5,10111.13729282598,37264.13689556048,25627.13706581712,10111.13729282598,38789.99943247785
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,2941.4217579130127,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1838.3885986956327,44121.32636869518,5.65,10386.895582630326,0.0,0.0,0,1.1100000000000003,2040.6113445521528,10386.895582630326,10386.895582630326,10386.895582630326,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,250.68935436758628,250.68935436758628,82.18307192,20602.42123956971,0.2,0.6,1,6.1556194400000095,1543.1482631461654,16790.566644285,9166.857453715584,1543.1482631461654,19059.272976423545
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,1838.3885986956327,110.30331592173796,4.83,8879.416931699907,0.2,0.6,1,1.52,2794.3506700173616,7662.403679363398,5228.377174690379,2794.3506700173616,6085.066261682545
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,38.53188224538825,38.53188224538825,127.0,4893.549045164308,0.3,0.6,1,5.0,192.65941122694127,3483.282154983098,2073.015264801888,192.65941122694127,4700.889633937367
