,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,522.3503668563698,65816.14622390259,26.6,13894.519758379436,0.3,0.6,1,5.5,2872.927017710034,10588.041936178615,7281.5641139777945,2872.927017710034,11021.592740669403
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,835.7605869701918,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,522.3503668563698,12536.408804552875,5.65,2951.279572738489,0.0,0.0,0,1.1100000000000003,579.8089072105706,2951.279572738489,2951.279572738489,2951.279572738489,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,71.22959548041406,71.22959548041406,82.18307192,5853.866968199376,0.2,0.6,1,6.1556194400000095,438.4622826425736,4770.786031088016,2604.624156865295,438.4622826425736,5415.404685556802
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,522.3503668563698,31.341022011382186,4.83,2522.952271916266,0.2,0.6,1,1.52,793.9725576216821,2177.1563290573495,1485.5644433395157,793.9725576216821,1728.979714294584
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,21.89650527731247,21.89650527731247,127.0,2780.856170218684,0.3,0.6,1,5.0,109.48252638656236,1979.4440770690474,1178.031983919411,109.48252638656236,2671.3736438321216
