,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
concrete block,kg/m2,174,153.12,0.88,0.3,0.6,1,100,Bloc creux en béton B40 (pose à joints minces),https://base-inies.fr/consultation/infos-produit/42222,1369.687026129824,238325.5425465894,10.3,14107.77636913719,0.3,0.6,1,1.0,1369.687026129824,10286.34956623498,6464.92276333277,1369.687026129824,12738.089343007365
mortar,kg/m2,2.06,1.8128,0,0,0,0,100,Bloc creux en béton B40 (pose à joints minces),https://base-inies.fr/consultation/infos-produit/42222,0.0,2821.5552738274373,10.3,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1369.687026129824,32872.48862711578,5.65,7738.731697633507,0.0,0.0,0,1.1100000000000003,1520.352599004105,7738.731697633507,7738.731697633507,7738.731697633507,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,186.77550356315783,186.77550356315783,82.18307192,15349.784642225217,0.2,0.6,1,6.1556194400000095,1149.7189206491653,12509.771497910007,6829.745209279587,1149.7189206491653,14200.065721576051
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,1369.687026129824,82.18122156778945,4.83,6615.58833620705,0.2,0.6,1,1.52,2081.9242797173324,5708.855524909107,3895.38990231322,2081.9242797173324,4533.664056489717
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,19.13872443918778,19.13872443918778,127.0,2430.618003776848,0.3,0.6,1,5.0,95.6936221959389,1730.140689302575,1029.6633748283025,95.6936221959389,2334.924381580909
