,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,714.7199497256839,90054.71366543617,26.6,19011.550662703194,0.3,0.6,1,5.5,3930.9597234912617,14487.373380939614,9963.196099176035,3930.9597234912617,15080.590939211932
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1143.5519195610943,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,714.7199497256839,17153.278793416415,5.65,4038.1677159501146,0.0,0.0,0,1.1100000000000003,793.3391441955094,4038.1677159501146,4038.1677159501146,4038.1677159501146,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,97.46181132622962,97.46181132622962,82.18307192,8009.711049677,0.2,0.6,1,6.1556194400000095,599.9378204573521,6527.756403833071,3563.8471121452117,599.9378204573521,7409.773229219648
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,714.7199497256839,42.88319698354103,4.83,3452.0973571750533,0.2,0.6,1,1.52,1086.3743235830395,2978.9527504566513,2032.6635370198453,1086.3743235830395,2365.723033592014
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,14.980241370513072,14.980241370513072,127.0,1902.4906540551601,0.3,0.6,1,5.0,74.90120685256537,1354.2138198943815,805.9369857336034,74.90120685256537,1827.5894472025948
