,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
concrete wall,kg/m2,466,410.08,0.88,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,1931.0607847645576,899874.3257002837,48.843,94318.8019102553,0.3,0.6,1,12.386000000000003,23918.118880093818,73198.59700120686,52078.39209215841,23918.118880093818,70400.68303016148
steel rebar,kg/m2,1.8,1.584,0,0.3,0.6,1,100,"Mur extérieur en béton d'épaisseur 0.18 m, C25/30 XC4 / XF1 CEM II/A",https://base-inies.fr/consultation/infos-produit/42863,0.0,3475.9094125762035,48.843,0.0,0.3,0.6,1,12.386000000000003,0.0,0.0,0.0,0.0,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,263.3264706497124,263.3264706497124,82.18307192,21640.978275845086,0.2,0.6,1,6.1556194400000095,1620.9375417979616,17636.97012903566,9628.95383541681,1620.9375417979616,20020.040734047125
insulation,m3/m2,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,1931.0607847645576,115.86364708587345,4.83,9327.023590412813,0.2,0.6,1,1.52,2935.2123928421274,8048.661350898677,5491.936871870402,2935.2123928421274,6391.811197570685
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,20.23712691104271,20.23712691104271,127.0,2570.1151177024244,0.3,0.6,1,5.0,101.18563455521355,1829.4362727582609,1088.757427814098,101.18563455521355,2468.9294831472107
