,Unit,Quantity for 1m2 of material,Quantity for 1m2 of facade,Quantity for LCA (FU),Low reuse,High reuse,Max reuse,Life span,Inies name,Ref,Quantity in building for LCA,Quantity in building for MFA,Climate change A-C material,Climate change A-C building,Prob reuse low,Prob reuse high,Prob reuse max,Climate change reuse A4-C material,Climate change reuse A4-C building,Climate change - low reuse A4-C building,Climate change - high reuse A4-C building,Climate change - max reuse A4-C building,Avoided impact from using reuse
brick,kg/m2,126,110.88,0.88,0.3,0.6,1,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,1207.20100863285,152107.3270877391,26.6,32111.546829633815,0.3,0.6,1,5.5,6639.605547480675,24469.964444987872,16828.38206034193,6639.605547480675,25471.94128215314
mortar,kg/m2,1.6,1.4080000000000001,0,0,0,0,100,Brique de structure de terre cuite de 20cm (pose à joints minces),https://base-inies.fr/consultation/infos-produit/32595,0.0,1931.5216138125602,26.6,0.0,0.0,0.0,0,5.5,0.0,0.0,0.0,0.0,0.0
coating,kg/m2,24,21.12,0.88,0,0,0,15,Mortier d'enduit minéral,https://base-inies.fr/consultation/infos-produit/41781,1207.20100863285,28972.8242071884,5.65,6820.685698775604,0.0,0.0,0,1.1100000000000003,1339.993119582464,6820.685698775604,6820.685698775604,6820.685698775604,0.0
window,m2/m2,1,0.12,0.12,0.2,0.6,1,30,Fenêtres et portes-fenêtres acier aluminium MILLET Groupe,https://base-inies.fr/consultation/infos-produit/27066,164.618319359025,164.618319359025,82.18307192,13528.839179232282,0.2,0.6,1,6.1556194400000095,1013.3277268265442,11025.736888751135,6019.532307788839,1013.3277268265442,12515.511452405737
insulation,m3,0.06,0.0528,0.88,0.2,0.6,1,50,KNAUF INSULATION Laine de Verre ECOSE Acoustilaine 035 200 mm (hors accessoires de pose),https://base-inies.fr/consultation/infos-produit/38963,1207.20100863285,72.43206051797101,4.83,5830.780871696666,0.2,0.6,1,1.52,1834.9455331219322,5031.61380398172,3433.279668551826,1834.9455331219322,3995.835338574733
door,,,,,0.3,0.6,1,,Bloc porte extérieur ACIER ? modèles non vitrés - ZILTEN - Acier 48,,25.30244538296125,25.30244538296125,127.0,3213.4105636360787,0.3,0.6,1,5.0,126.51222691480625,2287.3410626196965,1361.2715616033154,126.51222691480625,3086.8983367212722
