,fid,ID_1,COD_SIG,PILOTO,NAME,Descriçã,MORADA,AREA_M2,Uso,Date_Build,ConstrYear,GrossConst,N_StairsAb,Situation,Height,area,perimeter,facade_type,facade_surface,future_avoided,future_impact_low_reuse,future_impact_high_reuse,future_impact_max_reuse,future_impact_no_reuse,future_avoided/m2,reno_avoided,reno_impact_low_reuse,reno_impact_high_reuse,reno_impact_max_reuse,reno_impact_no_reuse,reno_avoided/m2,compacity
18,19,9,4200105056007,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Edifício de Areias Normalizadas,"Avenida do Brasil, 101",213.474009045,Research,Between 1946 and 1960,0,341,1,Active,3,213.4740090451669,63.47806309617904,brick wall without insulation,190.43418928853714,6130.407669129626,6509.3577249718555,4496.4967089125485,2044.3336412606982,8174.741310390324,28.7173492293263,6685.104375689277,7207.839861811924,4973.100163128756,2299.0584128530454,8984.162788542322,31.315776593112403,3.362957195488999
19,20,21,4200105056017,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Pavilhão de Hidráulica Fluvial,"Avenida do Brasil, 101",1589.09562366,Research,Between 1946 and 1960,0,1519,1,Active,3,1589.095623655012,197.8599874455946,brick wall without insulation,593.5799623367839,19108.371070058325,20289.55161707417,14015.49982750099,6372.151399477659,25480.522469535987,12.024682961524988,20837.350784352908,22466.70794613152,15501.064270840505,7166.123957099341,28003.474741452254,13.112710446184723,8.031414760384296
20,21,27,4202212001007,CRSM,Parque Desportivo Municipal de S. João de Brito,Hoquey,Avenida do Brasil,210.670964505,Sport,Between 1961 and 1980,0,0,1,Active,3,210.6709645051742,65.74808091038722,brick wall without insulation,197.24424273116165,6349.635130373955,6742.136692602786,4657.294425996236,2117.4403738466544,8467.07550422061,30.140058195932617,6924.168160601283,7465.59701586185,5150.941537164369,2381.274272923856,9305.442433525137,32.86721630990087,3.2042146567310246
21,22,28,4202212001004,CRSM,Parque Desportivo Municipal de S. João de Brito,Balneários,Avenida do Brasil,461.235238973,Sport,Between 1961 and 1980,0,0,1,Active,3,461.2352389731677,158.4398179423705,brick wall without insulation,475.3194538271115,15301.359676613629,16247.210493862465,11223.15466461445,5102.610793968999,20403.97047058263,33.1747411812768,16685.87018172124,17990.606199387697,12412.746168096639,5738.3980954081435,22424.268277129384,36.1764860353569,2.9111068477796764
22,23,29,4202212001008,CRSM,Parque Desportivo Municipal de S. João de Brito,Cicloturismo,Avenida do Brasil,198.41026613,Sport,Between 1961 and 1980,0,0,1,Active,3,198.4102661298239,63.25006223471497,brick wall without insulation,189.7501867041449,6108.388436633988,6485.977377549743,4480.346166926901,2036.9907922733055,8145.379228907295,30.786655125152258,6661.092780465822,7181.950702350674,4955.237754195098,2290.8006420087695,8951.893422474592,33.57231916669786,3.1369181170718594
23,24,31,901101014001,Municipal Complex of Coruchéus,Municipal Complex of Coruchéus,Municipal Library,"Rua Alberto de Oliveira, Palácio dos Corucheus",297.579280873,Library,Before 1919,0,0,2,Active,6,297.5792808723636,88.06109255759722,brick wall without insulation,528.3665553455833,15820.095945401345,17179.4621116001,11951.388969837004,5623.350591676467,21443.446537077813,26.581312884066342,17359.122047811958,19117.426097958843,13273.742515231503,6330.093696106719,23689.215743918678,29.16722225567248,6.758473514926365
24,25,30,4202212001001,CRSM,Parque Desportivo Municipal de S. João de Brito,Sala de Xadrez,Estrada da Portela ao Bairro São João de Brito,101.543617948,Sport,Between 1961 and 1980,0,0,1,Active,3,101.543617947842,42.06228061886969,brick wall without insulation,126.18684185660908,4062.1738457316383,4313.276396942461,2979.5002737487143,1354.6307354560595,5416.804581187698,40.00422604414054,4429.730878691569,4776.109542977807,3295.310606600087,1523.4182551234599,5953.149133815028,43.623922095823026,2.414125350646018
25,26,34,4201005021001,Alvalade Market,Alvalade North Market,Parish Market,"Avenida Rio de Janeiro, Mercado",6602.27530602,Market,Between 1946 and 1960,0,0,2,Active,6,6602.275306023192,348.1796588438698,brick wall without insulation,2089.077953063219,62550.16204283876,67924.8812774589,47253.905366964915,22233.840549829416,84784.00259266818,4.737015585051799,68635.2283045213,75587.2849568223,52482.282541655295,25028.191219846776,93663.41952436809,5.1978465849446795,37.924531995595885
26,27,32,901101007001,Municipal Complex of Coruchéus,Municipal Complex of Coruchéus,Art Galery,Rua Alberto de Oliveira,593.642841719,Art,Between 1961 and 1980,0,0,4,Active,12,593.6428417192074,135.3518189885769,concrete wall without insulation,1624.2218278629227,68754.22832260776,68587.94902075382,46479.855149953575,18978.163820910468,87732.39214351823,28.954374369072436,73485.26166280688,74545.33480986256,50544.82760298267,21150.722937859915,94635.9846006668,30.94674798487296,17.543697488663994
27,28,33,901101074001,Municipal Complex of Coruchéus,Municipal Complex of Coruchéus,Artistic Residence,Rua Alberto de Oliveira,706.451936577,Art,Between 1961 and 1980,0,0,4,Active,12,706.4519365766319,182.8656046178558,concrete wall without insulation,2194.38725541427,92889.65324735582,92665.00340300078,62796.103355389314,25640.242056446994,118529.89530380281,32.871894193339536,99281.4644449265,100713.66475389946,68288.04022725971,28575.454449289122,127856.91889421563,35.13383547576463,15.452921024777972
28,29,20,4200105056016,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Pavilhão de Hidráulica Marítima,"Avenida do Brasil, 101",3659.30695731,Research,Between 1946 and 1960,0,10264,1,Active,3,3659.306957310881,241.9800955946462,brick wall without insulation,725.9402867839386,23369.280054473373,24813.847929825242,17140.767225601827,7793.055203812478,31162.33525828585,6.386258471099239,25483.79892181763,27476.480751302843,18957.592500141727,8764.072931414674,34247.871853232304,6.964105285267206,15.122346936501343
29,30,26,4200105056017,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Armazém  e Arquivo do DHA,"Avenida do Brasil, 101",440.24672223,Research,Between 1946 and 1960,0,440,1,Active,3,440.2467222297564,97.13781743160916,brick wall without insulation,291.4134522948275,9381.105722192318,9960.997097962989,6880.800312548759,3128.3580236718312,12509.46374586415,21.308746319958534,10229.934826036693,11029.855014828048,7610.12658787607,3518.1526574613927,13748.087483498084,23.236822239626406,4.532186679404857
30,31,18,4200105056019,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,"Pavilhão de Ensaios de Fogo, Coberturas e Metrologia","Avenida do Brasil, 101",3459.94643984,Research,Between 1946 and 1960,0,3383,1,Active,3,3459.946439844789,267.5445983529242,brick wall without insulation,802.6337950587726,25838.177436067654,27435.359762385833,18951.640099013464,8616.369124586403,34454.54656065405,7.467796940019251,28176.089154314846,30379.292101254203,20960.407750582955,9689.972088857017,37866.06124317186,8.143504428241325,12.932223117717015
31,32,19,4200105056019,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,"Pavilhão de Ensaios de Fogo, Coberturas e Metrologia","Avenida do Brasil, 101",3357.21984549,Research,Between 1946 and 1960,0,3383,1,Active,3,3357.219845494081,305.7795749571642,brick wall without insulation,917.3387248714926,29530.728569023275,31356.165284536502,21660.03159807075,9847.740170461435,39378.46873948471,8.796185513050053,32202.752806828958,34720.81695316916,23955.87357158113,11074.772448849544,43277.525255678505,9.592089374215181,10.979215488674493
32,33,17,4200105056019,LNEC,LNEC - Laboratório Nacional de Engenharia Civil,Pavilhão do Porto de Lisboa,"Avenida do Brasil, 101",2694.61260002,Research,Between 1946 and 1960,0,0,1,Disabled,3,2694.612600021064,215.5811765364986,brick wall without insulation,646.7435296094958,20819.798738296573,22106.770881149452,15270.788104090878,6942.868608772248,27762.66734706882,7.726453419739091,22703.63329134311,24478.922668792344,16889.406070515157,7807.952753977909,30511.58604532102,8.425564881265158,12.499294434288393
